Designator,Mid X,Mid Y,Rotation,Layer
D1,56.4725,-105.95,90.0,bottom
D10,227.9225,-105.95,90.0,bottom
D11,246.9725,-105.95,90.0,bottom
D12,266.0225,-105.95,90.0,bottom
D13,285.0725,-105.95,90.0,bottom
D14,294.6225,-107.5875,90.0,bottom
D15,61.235,-125.0,90.0,bottom
D16,85.0475,-125.0,90.0,bottom
D17,104.0975,-125.0,90.0,bottom
D18,123.1475,-125.0,90.0,bottom
D19,142.1975,-125.0,90.0,bottom
D2,75.5225,-105.95,90.0,bottom
D20,161.2475,-125.0,90.0,bottom
D21,180.2975,-125.0,90.0,bottom
D22,199.3475,-125.0,90.0,bottom
D23,218.3975,-125.0,90.0,bottom
D24,237.4475,-125.0,90.0,bottom
D25,256.4975,-125.0,90.0,bottom
D26,275.5475,-125.0,90.0,bottom
D27,294.5975,-125.0,90.0,bottom
D28,318.41,-125.0,90.0,bottom
D29,342.2225,-125.0,90.0,bottom
D3,94.5725,-105.95,90.0,bottom
D30,63.61625,-144.05,90.0,bottom
D31,89.81,-144.05,90.0,bottom
D32,108.86,-144.05,90.0,bottom
D33,127.91,-144.05,90.0,bottom
D34,146.96,-144.05,90.0,bottom
D35,166.01,-144.05,90.0,bottom
D36,185.06,-144.05,90.0,bottom
D37,204.11,-144.05,90.0,bottom
D38,223.16,-144.05,90.0,bottom
D39,242.21,-144.05,90.0,bottom
D4,113.6225,-105.95,90.0,bottom
D40,261.26,-144.05,90.0,bottom
D41,280.31,-144.05,90.0,bottom
D42,292.24125,-144.83,90.0,bottom
D43,342.2225,-144.05,90.0,bottom
D44,49.35375,-163.88,90.0,bottom
D45,99.335,-163.1,90.0,bottom
D46,118.385,-163.1,90.0,bottom
D47,137.435,-163.1,90.0,bottom
D48,156.485,-163.1,90.0,bottom
D49,175.535,-163.1,90.0,bottom
D5,132.6725,-105.95,90.0,bottom
D50,194.585,-163.1,90.0,bottom
D51,213.635,-163.1,90.0,bottom
D52,232.685,-163.1,90.0,bottom
D53,251.735,-163.1,90.0,bottom
D54,270.785,-163.1,90.0,bottom
D55,296.97875,-163.1,90.0,bottom
D56,323.1725,-163.1,90.0,bottom
D57,342.2225,-163.1,90.0,bottom
D58,58.85375,-182.15,90.0,bottom
D59,82.66625,-182.15,90.0,bottom
D6,151.7225,-105.95,90.0,bottom
D60,106.47875,-182.15,90.0,bottom
D61,158.89125,-182.93,90.0,bottom
D62,249.35375,-182.15,90.0,bottom
D63,273.16625,-182.15,90.0,bottom
D64,304.1225,-182.15,90.0,bottom
D65,323.1725,-182.15,90.0,bottom
D66,342.2225,-182.15,90.0,bottom
D67,317.65,-110.82,180.0,bottom
D7,170.7725,-105.95,90.0,bottom
D8,189.8225,-105.95,90.0,bottom
D9,208.8725,-105.95,90.0,bottom
S1,46.9725,-104.565,0.0,top
S10,218.4225,-104.565,0.0,top
S11,237.4725,-104.565,0.0,top
S12,256.5225,-104.565,0.0,top
S13,275.5725,-104.565,0.0,top
S14,304.1475,-107.5875,0.0,top
S15,51.735,-123.615,0.0,top
S16,75.5475,-123.615,0.0,top
S17,94.5975,-123.615,0.0,top
S18,113.6475,-123.615,0.0,top
S19,132.6975,-123.615,0.0,top
S2,66.0225,-104.565,0.0,top
S20,151.7475,-123.615,0.0,top
S21,170.7975,-123.615,0.0,top
S22,189.8475,-123.615,0.0,top
S23,208.8975,-123.615,0.0,top
S24,227.9475,-123.615,0.0,top
S25,246.9975,-123.615,0.0,top
S26,266.0475,-123.615,0.0,top
S27,285.0975,-123.615,0.0,top
S28,308.91,-123.615,0.0,top
S29,332.7225,-123.615,0.0,top
S3,85.0725,-104.565,0.0,top
S30,54.11625,-142.665,0.0,top
S31,80.31,-142.665,0.0,top
S32,99.36,-142.665,0.0,top
S33,118.41,-142.665,0.0,top
S34,137.46,-142.665,0.0,top
S35,156.51,-142.665,0.0,top
S36,175.56,-142.665,0.0,top
S37,194.61,-142.665,0.0,top
S38,213.66,-142.665,0.0,top
S39,232.71,-142.665,0.0,top
S4,104.1225,-104.565,0.0,top
S40,251.76,-142.665,0.0,top
S41,270.81,-142.665,0.0,top
S42,301.76625,-145.6875,0.0,top
S43,332.7225,-142.665,0.0,top
S44,58.87875,-164.7375,0.0,top
S45,89.835,-161.715,0.0,top
S46,108.885,-161.715,0.0,top
S47,127.935,-161.715,0.0,top
S48,146.985,-161.715,0.0,top
S49,166.035,-161.715,0.0,top
S5,123.1725,-104.565,0.0,top
S50,185.085,-161.715,0.0,top
S51,204.135,-161.715,0.0,top
S52,223.185,-161.715,0.0,top
S53,242.235,-161.715,0.0,top
S54,261.285,-161.715,0.0,top
S55,287.47875,-161.715,0.0,top
S56,313.6725,-161.715,0.0,top
S57,332.7225,-161.715,0.0,top
S58,49.35375,-180.765,0.0,top
S59,73.16625,-180.765,0.0,top
S6,142.2225,-104.565,0.0,top
S60,96.97875,-180.765,0.0,top
S61,168.4225,-183.7875,0.0,top
S62,239.85375,-180.765,0.0,top
S63,263.66625,-180.765,0.0,top
S64,294.6225,-180.765,0.0,top
S65,313.6725,-180.765,0.0,top
S66,332.7225,-180.765,0.0,top
S7,161.2725,-104.565,0.0,top
S8,180.3225,-104.565,0.0,top
S9,199.3725,-104.565,0.0,top
SW1,332.57,-106.26,0.0,top
U1,64.665,-83.61,90.0,top
